Components
Part #;Sub-Assembly;Description;Length(L);Width(W);Thickness(T);Cubic m;Material;
C-001-01;C; C_FL;2000,0mm;500,0mm;10,0mm;0,01;contreplaque;
C-002-01;X; X_CP_30;500,0mm;500,0mm;30,0mm;0,0075;contreplaque;
C-003-01;C_D; C_D_1;2060,0mm;100,0mm;30,0mm;0,00618;massif_sipo;
C-004-01;C_D; C_D_2;2060,0mm;100,0mm;30,0mm;0,00618;massif_sipo;
C-005-01;C_G; C_G_1;2060,0mm;100,0mm;30,0mm;0,00618;massif_sipo;
C-006-01;C_G; C_G_2;2060,0mm;100,0mm;30,0mm;0,00618;massif_sipo;
C-007-01;X; X_S_30_1;2060,0mm;100,0mm;30,0mm;0,00618;massif_sipo;
C-008-01;X; X_S_30_2;2060,0mm;100,0mm;30,0mm;0,00618;massif_sipo;
C-009-01;X; X_CP_24;500,0mm;500,0mm;24,0mm;0,006;contreplaque;
C-010-01;LS; LS_D;2006,0mm;50,0mm;50,0mm;0,005015; tasseau_pin;
C-011-01;LS; LS_G;2006,0mm;50,0mm;50,0mm;0,005015; tasseau_pin;
C-012-01;LS; LS_M;2006,0mm;50,0mm;50,0mm;0,005015; tasseau_pin;
C-013-01;C_P; C_P_1;1660,0mm;100,0mm;30,0mm;0,00498;massif_sipo;
C-014-01;C_P; C_P_2;1660,0mm;100,0mm;30,0mm;0,00498;massif_sipo;
C-015-01;C_T; C_T_1;1660,0mm;100,0mm;30,0mm;0,00498;massif_sipo;
C-016-01;C_T; C_T_2;1660,0mm;100,0mm;30,0mm;0,00498;massif_sipo;
C-017-01;C_T; C_T_3;1660,0mm;100,0mm;30,0mm;0,00498;massif_sipo;
C-018-01;C_T; C_T_4;1660,0mm;100,0mm;30,0mm;0,00498;massif_sipo;
C-019-01;SOC; SOC_TP_1;2060,0mm;100,0mm;24,0mm;0,004944;massif_hetre;
C-020-01;SOC; SOC_TP_3;2060,0mm;100,0mm;24,0mm;0,004944;massif_hetre;
C-021-01;X; X_H_24;2060,0mm;100,0mm;24,0mm;0,004944;massif_hetre;
C-022-01;X; X_H_24_2;2060,0mm;100,0mm;24,0mm;0,004944;massif_hetre;
C-023-01;SOC; SOC_P;710,0mm;580,0mm;10,0mm;0,004118;contreplaqué_pin;
C-024-01;SOC; SOC_GD_1;1660,0mm;100,0mm;24,0mm;0,003984;massif_hetre;
C-025-01;SOC; SOC_GD_2;1660,0mm;100,0mm;24,0mm;0,003984;massif_hetre;
C-026-01;SOC; SOC_GD_3;1660,0mm;100,0mm;24,0mm;0,003984;massif_hetre;
C-027-01;SOC; SOC_GD_4;1660,0mm;100,0mm;24,0mm;0,003984;massif_hetre;
C-028-01;X; X_CP_15;500,0mm;500,0mm;15,0mm;0,00375;contreplaque;
C-029-01;X; X_CP_10;710,0mm;500,0mm;10,0mm;0,00355;contreplaqué_pin;
C-030-01;X; X_CP_10_2;500,0mm;500,0mm;10,0mm;0,0025;contreplaque;
C-031-01;L_M; L_M_1;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-032-01;L_M; L_M_2;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-033-01;L_M; L_M_3;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-034-01;L_M; L_M_4;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-035-01;L_P; L_P_1;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-036-01;L_P; L_P_2;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-037-01;L_P; L_P_3;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-038-01;L_P; L_P_4;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-039-01;L_T; L_T_1;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-040-01;L_T; L_T_2;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-041-01;L_T; L_T_3;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-042-01;L_T; L_T_4;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-043-01;X; X_LS_2;1600,0mm;50,0mm;30,0mm;0,0024; tasseau_pin;
C-044-01;X; X_LS_1;800,0mm;50,0mm;50,0mm;0,002; tasseau_pin;
C-045-01;A_1; A_1_H_1;780,0mm;100,0mm;24,0mm;0,001872;massif_hetre;
C-046-01;A_1; A_1_H_2;780,0mm;100,0mm;24,0mm;0,001872;massif_hetre;
C-047-01;A_1; A_1_H_7;780,0mm;100,0mm;24,0mm;0,001872;massif_hetre;
