Components
Part #;Sub-Assembly;Description;Length(L);Width(W);Thickness(T);Cubic m;Material;
C-001-01;socle; socle_1_2; 1607;150;30;0,007232;Not assigned;
C-001-02;socle; socle_1_2; 1607;150;30;0,007232;Not assigned;
C-002-01;socle; socle_1_1;2060;150;30;0,00927;Not assigned;
C-003-01;socle; socle_1_2; 1607;150;30;0,007232;Not assigned;
C-003-02;socle; socle_1_2; 1607;150;30;0,007232;Not assigned;
C-004-01;socle; socle_1_1;2060;150;30;0,00927;Not assigned;
C-005-01;socle; socle_1_2; 1607;150;30;0,007232;Not assigned;
C-006-01;socle; socle_1_3; 681;150;30;0,003063;Not assigned;
C-007-01;support_soier; support_1_0#2;2010;300;30;0,01809;acajou;
C-008-01;support_soier; support_1_0;2010;300;30;0,01809;acajou;
C-009-01;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-009-02;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-010-01;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-010-02;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-010-03;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-011-01;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-011-02;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-012-01;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-012-02;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-012-03;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-012-04;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-012-05;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-012-06;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-013-01;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-013-02;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-014-01;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-014-02;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-014-03;groupement tenon; faux tenon suppot_10;75;10;10;7,0e-06;Not assigned;
C-015-01;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-015-02;assemblage_vis_goujon#1; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-016-01;support_soier; support_1_0#1;1661;300;30;0,014949;acajou;
C-017-01;cloisons; Différence;1660;880;30;0,043824;[Wood_Floor_Light];
C-017-02;cloisons; Différence;910; 712; 30;0,019557;[Wood_Floor_Light];
C-017-03;cloisons; Différence;1660;880;30;0,043824;[Wood_Floor_Light];
C-018-01;assemblage_vis_goujon; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-018-02;assemblage_vis_goujon; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-018-03;assemblage_vis_goujon; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-018-04;assemblage_vis_goujon; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-018-05;assemblage_vis_goujon; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-018-06;assemblage_vis_goujon; EnveloppeExterne; 78;20;17;2,7e-05;Not assigned;
C-019-01;cloisons; Différence;1660;1180;30;0,058764;acajou;
C-019-02;cloisons; Différence;820; 712;30;0,017507;acajou;
C-020-01;lit_general_sans_assemblages; montant;750;60;60;0,0027;[Wood_Floor_Light];
C-021-01;soutien_tiroir_bout; tasseau#2; 581;30;20;0,000348;Not assigned;
C-021-02;soutien_tiroir_bout; tasseau#2; 581;30;20;0,000348;Not assigned;
C-022-01;soutien_tiroir_bout_un_etage#1; traverse_tiroir#8; 784;101;20;0,001583;Not assigned;
C-023-01;soutien_tiroir_bout; tasseau#2; 581;30;20;0,000348;Not assigned;
C-023-02;soutien_tiroir_bout; tasseau#2; 581;30;20;0,000348;Not assigned;
C-024-01;soutien_tiroir_bout_un_etage; traverse_tiroir#1; 784;111;20;0,00174;Not assigned;
C-025-01;support_tiroir_complet#4; tasseau;1529;30; 20;0,000912;Not assigned;
C-026-01;support_tiroir_complet#4; Différence;1646;35; 20;0,001145;Not assigned;
C-027-01;support_tiroir_complet#4; traverse_tiroir#3; 653;125; 20;0,001623;Not assigned;
C-028-01;support_tiroir_complet#4; traverse_tiroir#7; 637;125; 20;0,001582;Not assigned;
C-029-01;soutien_tiroir_bout; tasseau#2; 581;30;20;0,000348;Not assigned;
C-029-02;soutien_tiroir_bout; tasseau#2; 581;30;20;0,000348;Not assigned;
